,id,title,actual,prompts_correct,prompts_wrong,all_correct,all_wrong,success_rate
SAMPLE_00,SAMPLE_00,"현대차, 1월 美판매 15% 늘어…역대 최대",1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_01,SAMPLE_01,"삼성SDI, 헝가리 46파이 라인 추진…유럽 고객 타깃",1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_02,SAMPLE_02,"美, 반도체 투자만 해도 稅혜택 韓, 설비투자만 '찔끔 감면'",0,"M12_축약스코어링, V2_Gamma_영어",김경태_원본,False,False,0.6666666666666666
SAMPLE_03,SAMPLE_03,인공지능 개발의 심장…국가 AI 컴퓨팅센터 2년 내 문 연다,0,M12_축약스코어링,"김경태_원본, V2_Gamma_영어",False,False,0.3333333333333333
SAMPLE_04,SAMPLE_04,"닛산 ""CEO 교체 준비""…혼다 합병 재시동 촉각",1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_05,SAMPLE_05,로봇이 조립하고 AI가 검사…다품종 소량생산 최적 체계 구현,0,M12_축약스코어링,"김경태_원본, V2_Gamma_영어",False,False,0.3333333333333333
SAMPLE_06,SAMPLE_06,멕시코 거점 韓 기업 한숨 돌렸지만…변동성 예의주시,0,"M12_축약스코어링, V2_Gamma_영어",김경태_원본,False,False,0.6666666666666666
SAMPLE_07,SAMPLE_07,올해 車 판매 1.9% 증가…저성장 기조 계속,1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_08,SAMPLE_08,중국도 관세 즉각 맞불…광물수출 막고 美원유 10%P 추가관세,0,"김경태_원본, M12_축약스코어링, V2_Gamma_영어",,True,False,1.0
SAMPLE_09,SAMPLE_09,"현대차, 美 120만대 생산체제 구축…철강·부품·조립까지 현지서 해결",1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_10,SAMPLE_10,"트럼프 ""조만간 EU에 25% 관세 부과""",0,"M12_축약스코어링, V2_Gamma_영어",김경태_원본,False,False,0.6666666666666666
SAMPLE_11,SAMPLE_11,"AI 사령관, 드디어 참전",0,"김경태_원본, M12_축약스코어링, V2_Gamma_영어",,True,False,1.0
SAMPLE_12,SAMPLE_12,광주는 AI 기회의 땅…새 둥지 트는 기업들,0,M12_축약스코어링,"김경태_원본, V2_Gamma_영어",False,False,0.3333333333333333
SAMPLE_13,SAMPLE_13,"채비 전기차 충전소, 美 텍사스로 확대",1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_14,SAMPLE_14,자율주행 등 첨단기술 확보 및 미래차 핵심부품 공급망 확충에 5천억 원 투입,1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_15,SAMPLE_15,"태양광 패키지 이어 배터리 공장도 함께…한화·LG ""UAM도 협력""",0,"김경태_원본, M12_축약스코어링",V2_Gamma_영어,False,False,0.6666666666666666
SAMPLE_16,SAMPLE_16,中 전기차 리서치 지속…가격인하 경쟁 치열,1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_17,SAMPLE_17,올해 10대 제조업 투자 119조 전망…7% 증가,0,"김경태_원본, M12_축약스코어링",V2_Gamma_영어,False,False,0.6666666666666666
SAMPLE_18,SAMPLE_18,패스워드 대신 인증키 발행…재사용 불가능 지문·안면 2차 인증…AI로 악성 트래픽 탐지,0,M12_축약스코어링,"김경태_원본, V2_Gamma_영어",False,False,0.3333333333333333
